"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Czechia","CZE","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.33","16.18","15.37","17.09","16.44","15.88","14.56","14.26","14.24","15.01","15.1","16.09","16.7","15.65","14.82","13.54","13.03","13.91","13.59","12.23","12.73","13.33","","","",
"Germany","DEU","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.42","14.47","14.56","14.37","13.99","13.28","12.78","12.38","12.52","12.74","13.23","13.24","12.92","13.48","13.44","13.3","12.99","12.53","12.82","12.49","12.87","12.9","","","",
"Djibouti","DJI","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.28","5.53","5.99","6.43","6.58","6.43","6.21","6.45","5.98","6.38","6.31","6.5","6.76","6.95","7.59","7.47","7.86","8.09","8.21","8.02","7.89","7.96","","","",
"Dominica","DMA","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.54","15.78","14.97","13.68","14.37","14.7","14.68","12.74","13.06","12.71","11.69","12.43","12.84","12.06","11.97","11.03","10.82","11.18","11.2","11.42","10.9","10.46","","","",
"Dominican Republic","DOM","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.14","3.99","3.89","3.93","4.1","4.34","4.27","4.21","4.24","4.27","4.18","4.24","4.91","5.3","6.18","6.43","6.3","6.7","6.22","5.83","4.18","4.2","","","",
"Algeria","DZA","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.18","3.96","3.91","3.62","3.43","3.33","3.19","3.04","2.9","2.74","2.61","2.54","2.36","2.31","2.26","2.17","2.06","2.04","2.07","2.05","1.71","2.18","","","",
"East Asia & Pacific (excluding high income)","EAP","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0934493129851","11.8200562988709","11.6728838123281","11.7107695197365","11.657576570775","11.0605815780673","10.2133829491065","9.62722396474125","9.23598540639818","8.88448279383968","8.53069554207779","8.1295883119037","7.73270264883558","7.48902853619174","7.37023792653803","7.30895384239967","7.30454288482482","7.28015395308835","7.36023890104473","7.39367184931006","7.40808459211156","7.56534202599406","","","",
"Early-demographic dividend","EAR","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.61689226698827","9.25621230876469","9.28593389382706","9.21665254178836","9.33538700245848","9.45359468914163","9.49640842982504","9.45882286873258","9.43341814249152","9.35477262965283","9.43932656988359","9.40209887757937","9.39806340723135","9.2357511698146","9.10452816630444","8.92853854951238","8.92975614715805","8.99374525559996","8.77305979272481","8.63165824067352","8.04393432369958","7.95655299824276","","","",
"East Asia & Pacific","EAS","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9239721207177","12.6554011767078","12.6285228594254","12.8812133541944","12.7583310688871","12.2666311200291","11.3914948722547","10.9922858282","10.6429441178392","10.4749388134142","10.100392906534","9.68727168971424","9.13029778647681","8.88497902765146","8.664367010172","8.5296867370952","8.39143541241926","8.32039629180601","8.42457962465567","8.43846374347386","8.44629375639557","8.60606658958021","","","",
"Europe & Central Asia (excluding high income)","ECA","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3835011656716","16.5286643257716","16.232121719719","15.8460453711991","15.62186580337","15.7472856675735","14.9561183937603","14.7235720781805","14.3304995430787","13.5505170960852","12.9359708469729","12.531058863804","12.294689740971","11.9516002851948","11.9726521055712","11.2106849785689","10.7703906762022","10.5261665335011","10.6334361901628","10.4931660361958","9.57845109107162","8.95736822311728","","","",
"Europe & Central Asia","ECS","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.5889998217139","20.9381883882297","20.7416788005127","20.2428473040325","19.6646181009427","19.0963385204497","18.0157132846613","17.3461301997647","17.2563985003944","16.9400039974023","16.5172491650703","16.225254361201","16.0183516769609","15.8323420057493","15.5601141692138","14.9304957419725","14.2984821429849","13.7263876297195","13.6394825464458","13.2607326055766","12.5627209885642","12.5413455740299","","","",
"Ecuador","ECU","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.55","5.69","5.45","6.17","6.94","8.34","7.75","8.48","8.22","8.51","7.99","8.25","8.18","5.87","6.59","8.38","8.83","8.95","8.47","8.52","7.59","7.56","","","",
"Egypt, Arab Rep.","EGY","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.91","0.94","0.96","0.95","0.95","0.94","0.92","0.9","0.9","0.92","0.93","0.99","1.04","1.04","0.98","0.97","0.94","0.89","0.89","0.91","0.79","0.63","","","",
"Euro area","EMU","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.0332429954163","13.7368960851716","13.918791855454","13.8291473964682","13.3811375058316","12.9912229940081","12.5219276025765","12.1269049720667","12.4446068879742","12.6108772191701","12.512892774131","12.5517358257497","12.4925540611459","12.675606265001","12.3714071166234","12.0727536777572","11.5930020902356","11.5981039660955","11.6363564973383","11.4377788941427","11.7345014080706","11.9250934935273","","","",
"Eritrea","ERI","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.26","13.53","13.6","12.78","12.95","13.06","13.11","13","13.18","13.65","13.54","13.36","13.14","13.36","13.07","13.04","12.93","13.05","13.18","13","12.87","13.23","","","",
"Spain","ESP","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.55","8.02","8.33","8.47","8.46","8.01","7.52","7.38","7.78","7.64","7.01","7.1","7.74","8.5","8.6","7.97","7.9","8.12","7.79","8.1","8.62","8.72","","","",
