"Data Source","WDI Database Archives",

"Last Updated Date","2025-10-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"China","CHN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","30070","","","","","","","","","","","","","7750000","8153000","8215000","8435100","8575530","8672250","8669770","8735490","8698600","8813300","8813300","29302152","29484222","29388546","29317177","30428981","32290605","32491169","32648731","32742470","32849432","32940249","33076186","33294998","33527607","32931102","32512202","31908661","31010963","30698603","29797787","28894594","26489522","25287108","22879510","22277848","19267080","18083328","14798619","13192058","10011511","7281750","5461848","4160","2072","","",
"Cote d'Ivoire","CIV","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","372000","","9300","","","","9300000","15502170","","","","","","","13950","20150","25110","27280","24800","24800","14880","27500381","23489580","17755752","25661666","38171678","32769852","36701976","23352429","16932607","15504058","13517519","14138614","5011756","8508742","7929604","4495515","2892297","2538377","2530443","2435610","2516773","2131169","334072","226170","142233","124492","79439","71489","74148","66662","50214","78282","49573","16590","","",
"Cameroon","CMR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","248000","","","","","930000","930000","930000","930000","619690","3968000","5354010","1141420","129890","424390","1089650","1661600","1834890","1585960","1507530","5087352","4614174","4307766","4489326","4667832","5127546","5197562","5270562","5356416","5513322","4892240","4612896","6528308","6561358","6474866","5620368","3718866","6194074","8265650","9895526","10010214","8832669","8313148","8720949","19168830","21950179","21398351","15519347","15593427","13406549","10473564","8230842","6160531","3396995","","",
"China and India","CNI","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Refugee population by country or territory of asylum","SM.POP.REFG","4650000","6293000","6913000","7347000","7316000","8215000","11070100","13457100","14737400","15385300","15159000","14701750","15352750","14261550","15600750","15810000","15965000","16439300","20243000","22024880","18944410","17878940","15425600","9408500","10457230","8773000","9338130","9920000","10560925","10561359","42059935","48778859","39503827","57779070","181058345","159147520","75033074","33026508","26663690","31665090","36908465","40183342","36960650","25977525","21726115","21864323","21879071","18093790","15671362","18209282","15801827","13289132","5403954","8501995","8741980","24134985","25761424","24705869","21691625","17283191","11765832","9434664","6767072","3663744","","",
"Congo","COG","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","15500","15500","","","","310000","155000","","","4650","","","","","31000","31000","37200","48980","65720","66960","105431","301990","346290","345270","1391892","1645324","2173224","2290706","2318175","3043646","4465560","13797320","13344251","12230506","10232692","7538816","7136200","5913576","3962644","2527210","11029441","12778349","12428168","8269941","3878688","4058308","2832072","2647758","2231189","1537161","847048","650388","733770","540241","424459","","",
"Colombia","COL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","46500","43400","41850","44950","37200","","","55800","46500","62000","62000","55800","4650","6510","10230","12400","7440","21080","22320","21700","46920","45900","48756","30334","33388","24410","24622","24878","25216","25702","26769","23573","23043","20989","15501","16827","14800","17212","17185","19032","19918","18931","17931","16497","15297","14030","13772","11660","12214","20946","23208","27072","20891","9674","","",
"Comoros","COM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","974","1248","1367","0","0","","73","71","","","0","0","0","0","","0","0","","","","","30","486","156","70","","",
"Cape Verde","CPV","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","368","142","","","","","","","","0","","","","","0","","","","","","0","0","","0","0","","","","","","","","","","",
"Costa Rica","CRI","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","21700","","6200","","","108500","4123000","576910","311860","465000","507160","524210","524210","744000","967200","979600","8642800","8642800","27897210","11984184","11667984","2533068","2610780","2713216","2595816","2588704","2574496","2565118","618054","907624","1392358","1512868","1145378","1215512","1220530","1770146","1849345","1892019","1871891","1764613","1717282","1562779","1456298","227405","237394","205809","185931","204758","230562","184032","183144","163954","","",
"Czechoslovakia","CSK","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2820444","2727539","1898267","826131","812908","798862","782983","772735","327183","275131","127186","102708","95428","78351","66612","56784","44408","34318","28111","26330","19564","13403","8874","6420","9478","11052","7197","13694","31852","63438","57046","42592","23226","2023","","",
