General Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Iceland,14.551616,14.449046,13.642236,10.718979,9.255047,8.5625906,6.7108068,6.6477082,5.1131326,4.9617047,13.63206,8.4949271,7.466512,7.8944387,7.9748071,7.7793918,5.563,8.7958246,14.221076,14.641349,11.442099,11.748565,14.543656,11.46252,12.541627,16.387483,17.174001,18.375301,19.803421,21.067239,24.774048,22.372047,28.948088,30.751438,32.424858,32.016791,29.86556,27.326043,30.588221,35.286097,35.489942,37.607619,45.401092,52.29382,54.808423,58.070268,55.574695,52.047615,43.952795,76.592958,75.796302,83.382672,82.15995,85.06786,80.861399,68.931071,70.651032,68.404314,110.35666,128.77334,133.1411,138.1759,133.92495,121.9603,115.29913,97.322974,82.471489,71.742256,63.246715,66.527874,77.511551,74.915257,67.534232,61.991208,59.077272
India,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,76.653394,78.762417,78.328376,74.752747,70.875515,67.133481,69.007533,69.283871,71.266784,74.940513,80.110431,84.304258,85.882905,84.890373,82.377826,77.941104,75.455097,74.367659,72.769814,67.701787,68.647829,67.984532,67.713353,67.102041,69.048587,68.943091,69.669383,70.392344,75.040396,88.426608,83.486538,82.17323,81.230795,81.285982
Indonesia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,87.437299,73.702115,62.339381,55.642692,51.328172,42.611727,35.847734,38.12094,30.252037,26.483126,26.363125,23.106018,22.954664,24.884377,24.645273,27.013304,27.955461,29.395537,30.422723,30.563455,39.747126,41.140307,40.140611,39.601294,40.188701
Ireland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,63.457207,64.601484,68.781936,73.450466,86.146982,90.231415,92.958831,107.23114,108.26389,106.50778,97.920509,92.656185,93.763033,90.567092,93.368515,88.020232,78.521928,69.833403,61.578386,51.413883,46.570142,36.41231,33.577882,30.889572,29.832048,28.103149,26.059681,23.653226,23.948394,42.513736,61.76463,86.134993,109.42825,118.72992,117.49445,101.27588,73.961599,72.639624,65.233855,61.471633,55.924411,57.00719,52.564195,43.149197,43.283309,41.113213
Israel,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,247.44242,269.76935,189.04517,154.3494,136.07035,138.094,140.04626,131.34453,117.47931,113.65231,112.39251,104.67956,93.058226,91.563174,90.170138,91.952618,86.51851,77.145572,81.046995,87.127336,89.542273,88.183138,85.174746,77.473512,70.68641,70.15042,72.467188,68.94016,67.097338,66.787618,65.798056,64.709572,63.123233,61.472602,59.651717,59.917299,59.09019,71.092806,67.793322,60.466603,61.471816,67.848206
Italy,30.985153,31.419462,33.488384,34.436082,36.245068,36.2088,35.250606,34.633152,34.577334,35.805078,32.10793,30.727608,29.671921,27.867411,27.893226,29.080489,34.036151,33.853469,36.351827,36.997262,37.76759,42.447456,48.21675,51.091296,50.770501,57.899269,57.265414,55.954093,59.912763,58.870119,55.08883,57.294829,61.797134,67.816309,73.129843,79.097925,83.389922,87.406186,89.224548,91.784655,95.295572,98.643589,105.35722,115.47945,121.57852,119.08785,118.89628,116.49059,113.88689,113.05855,108.74276,108.51307,105.94745,105.14083,104.74201,106.17675,106.25696,103.4635,105.8016,116.13887,118.75559,119.12696,125.89866,131.85192,134.79525,134.78817,134.23978,133.7409,134.19834,133.89806,154.37916,145.81247,138.34522,134.63732,135.32627
Japan,no data,no data,no data,no data,no data,13.503016,14.889601,12.019665,12.831277,12.1211,10.413437,8.4405844,9.0138887,8.6562559,8.5252259,9.7786935,11.216134,11.356836,11.81746,11.436378,11.24863,12.604938,16.305228,15.896144,16.705092,20.889573,26.097625,31.102928,39.046826,43.812703,47.775621,52.814987,57.730372,63.51113,65.601839,68.309844,74.079102,75.833458,71.944262,65.674493,63.232682,62.384549,66.765616,72.837523,84.361173,92.525578,98.05354,104.97094,116.01995,129.50119,135.6086,145.12353,154.09566,160.02076,169.48993,174.5947,174.14256,172.95109,180.85069,198.80682,205.87929,219.16162,226.09283,229.45072,233.28113,228.27837,232.42123,231.32077,232.3803,236.38106,258.36886,253.65204,248.30916,239.97054,236.65953
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,38.862365,23.997407,21.472088,12.703905,17.969482,22.466314,32.700842,25.33529,20.470313,17.59187,14.962494,11.391569,8.1044071,6.6769522,4.0919887,6.7658701,10.227029,10.682735,10.161007,12.125267,12.602508,14.496344,21.881937,19.677354,19.869432,20.25854,19.943728,26.357133,25.100451,23.524056,22.981963,24.804028
Kiribati,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.4618913,5.0336477,7.7172836,8.4314679,7.3143991,10.926422,12.292221,12.268996,11.016619,10.716406,9.8079154,11.841201,12.692737,17.009963,13.264962,12.314688,13.623095,12.115057,12.87117,11.114365,13.852604,10.274681,9.4299438,8.8024805,8.13481,8.8600617,8.9748964,18.795442,21.231001,20.158678,18.982646,18.959089,20.978412,17.346953,16.315788,11.416383,9.9160102
"Korea, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.787315,11.92572,11.645269,10.862126,9.6310384,8.484557,7.8105397,9.6939101,13.81718,15.759142,16.087068,16.625069,16.444395,19.101829,21.602522,24.917414,27.043411,26.345625,25.856443,28.790524,28.274647,31.700104,33.535501,36.003965,37.876458,38.842657,39.143586,38.011446,37.854018,39.729917,45.915048,47.987823,49.797859,50.696557,52.487525
