General government gross debt (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
"China, People's Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.4,21.2,20.4,20.4,21.6,22.7,24.3,25.6,26.4,26,25.9,25.2,28.7,26.7,34,33.3,33.2,33.8,36.4,39.3,40.8,49.7,53.9,55.6,59.4,69,70.1,75.5,82,88.3,96.3,102.3,106.3,109.7,112.9,116.1
Colombia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.3,25.3,27.5,34,38,41.1,47.5,45,41.5,38.5,36,32.7,32.4,35.4,36.5,35.8,34,37.6,43.3,50.4,49.9,49.4,51.8,51,65.3,64.4,61.3,55.5,61.2,58.9,61.9,63,62.6,61.8,60.9
Comoros,no data,no data,no data,no data,150.1,142.8,136.6,128.8,119.9,113.7,108.1,103.9,101,95.7,87.8,77.7,75.4,70.9,69.4,64.5,60.7,53,48.2,44.4,42.4,39.9,38.5,35.6,33.2,31.7,30.5,27.7,25.1,10.3,11.8,14.3,16.2,18.9,17,21.2,24.3,26.3,28.2,28.7,32.2,30.2,32.6,33.4,34.9,35.3,35
"Congo, Dem. Rep. of the",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,135,185.4,136,114.5,164.1,112,107.5,85.1,80.3,91.6,31.8,29.3,25.1,23.8,22.8,25.5,33,23.2,19.3,19.4,23.7,25.3,23.8,27,22.5,19.1,14.6,12.4,10.3,8.2,6.3
"Congo, Republic of ",no data,no data,no data,no data,no data,no data,no data,no data,no data,0,0,0,0,0,0,0,0,0,0,0,145,180.1,163.5,185.3,122.6,99.8,94.7,93.8,69.6,83.8,43.5,34.4,30.2,33.9,42.3,74.2,84.6,88.5,71.2,77.6,102.5,97.8,93.5,102.9,98,93.1,89.9,83.7,75.7,67,59
Costa Rica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.7,30.6,40.7,39,38.9,39.6,41.4,40.6,41,37.3,33,27,24,26,28.1,29.5,33.7,35.1,37.4,39.8,44.1,47.1,51.8,56.4,66.9,67.6,63,61.1,59.8,59.7,59.5,59.2,58.8,58.2,57.4
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.3,30,35.4,36.6,36.5,37.8,40,40.9,38.4,37.1,38.9,47.9,56.8,63.1,68.9,79.5,83.2,82.8,79.3,76.2,72.8,70.9,86.5,78.2,68.5,61.8,57.6,57,57.4,58,58.7,59.1,59.4
Cyprus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,46.7,48.8,53.5,55,55.7,56,57.5,61,63,64.7,64,59,53.1,44.1,52.8,55.3,64.8,79.2,102.7,113,111.6,106.8,96.4,100.7,92.3,113.6,96.5,81.1,73.6,65.1,57.7,53.7,48.7,44.3,42.2,38.3
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.5,11.5,12.1,13.9,15.1,16.9,22.6,25.7,28.1,28.3,27.7,27.6,27.3,28.2,33.4,36.7,39.4,43.8,44.1,41.5,39.5,36.2,33.8,31.7,29.6,36.9,40.7,42.5,42.2,43.3,44,45.7,46.6,48.3,50.2,52.5
Côte d'Ivoire,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,84.2,75.2,78,74,71.2,63,56.4,56.7,58.2,57.5,53.5,51.2,46.5,45.6,50,24.7,24.6,26.7,29.2,31.1,32.6,35.3,37.2,46.3,50.2,56,57.5,59.3,55.6,54.1,52.7,51.2,50.3,49.2
Denmark,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,66.7,78.7,75.3,71.5,68.3,64.4,60.3,56.8,53.6,50.1,50.3,48.2,46.2,39.4,33.2,29.5,35.5,43,46.1,50,48.7,47.8,48.7,44.6,41.7,40.2,38.5,38.3,46.3,40.7,34.2,33.8,31.5,29.6,29.1,29.2,29.4,29.9,30.4
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.5,27.9,25.7,25,24.6,26.9,40.3,45.9,48,47.5,41.1,42.1,40.3,38.3,35.4,32.9,30.5,28,25,22.5,19.8,17.3
Dominica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.1,56.9,54,53.4,55.9,57.4,53.7,47.7,56.3,61.8,68.9,98.5,97.9,94.9,86.2,82,77.4,71.8,64.4,62.5,66.8,69.7,73.1,73.9,72.1,68.9,76.5,84,85.6,97.7,112.5,108.5,104.3,99.8,99.9,95.7,92.5,89.5,86.7,83.9,80.7
Dominican Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.8,13.2,16,16.7,20.4,21.5,48.2,34.3,38.3,36,32.9,33.6,36.8,37.4,39.1,42.4,46.8,45,44.8,46.7,49.5,50.8,53.5,71.8,62.8,59.6,60.5,58.8,60,58.9,57.2,55.7,53.9,52
Ecuador,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,63.8,55,47.2,40.2,35.8,33.1,29.6,24.9,19.7,18.4,18.6,19.3,23.4,28.2,36.4,46.1,47.4,49.5,52.1,63.6,61.8,57.2,54.3,53.8,no data,no data,no data,no data,no data,no data
Egypt,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,73.8,72.4,71.7,79.1,85.8,97.1,96.5,98.3,85.9,76.3,66.8,69.5,69.6,72.8,69.9,79.8,80.9,83.8,91.6,97.8,87.9,80.1,86.2,89.9,88.5,95.9,90.9,87,85,82.4,79.5,76.3,72.5
El Salvador,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.3,36.4,31.9,30.5,28,28.5,27.8,25.7,28,29.6,37.8,43.8,46,46.8,46.3,52.6,52.2,54.2,65.8,66.8,65.6,70,69.7,71.8,73.5,75.2,77.1,77,77.9,95.4,88,83.7,85.1,87.5,87.6,86.9,84.6,82.9,81.4,79.5
Equatorial Guinea,146.2,221.1,260.7,259.3,257.9,183.8,152.5,141.3,154.5,187,157,169.5,136.9,152.6,216,136.9,91.2,46.3,59.2,60.5,36.6,25.5,19.4,6.8,4.5,2.8,1.2,0.8,0.5,4.3,7.9,7.2,7.1,6.3,12.6,31.7,41.1,36.2,40.6,43.2,49.4,42.3,29.8,39.1,36.4,36.6,38.1,40.5,42.9,45,46.3
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,219.1,238.6,243.4,264,193.5,205.4,199,201.3,259.7,207.1,201.8,171.6,171.6,232.4,204.5,271.4,251.2,290.4,267.1,260.4,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.7,7.3,6,5.4,5.9,5.1,4.9,5.7,5.6,5.2,4.7,4.7,3.9,4.7,8,8,7.6,11.1,11.4,11.6,10.8,10.2,9.4,8.5,9,19.1,18.4,19.2,20.1,23.4,24.4,27.5,30.2,32.1,33.8,35.4
Eswatini,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15,13.1,12.5,11.5,12.7,15.6,16.7,18.2,21.7,17.2,17.7,15,13.6,14.7,16.1,14.6,10.6,14.2,14.6,14.8,15.2,14.1,16,20.1,21.7,26.5,30.5,37.8,37.5,39.5,39.4,39.2,42.8,43.5,43.5,42.5,42.4,41.4
Ethiopia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,87.9,141,155.2,146.6,132.8,80.3,89.3,97.8,93.6,97.3,107.4,103.7,103.1,78.2,79.6,55.7,56.1,30,39.4,44.6,39.4,44.1,44.2,50.7,51.8,55.3,58.4,54.7,53.7,53.8,46.9,38.7,32.7,46.7,41.1,38.6,36.4,34.2,32.1
Fiji,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.3,45.9,48.8,49.1,50.3,54.4,37.9,34.7,35.9,41.9,44.5,46.4,45.9,45.3,50.3,46.4,47.9,51.5,53.4,51,48.6,47.4,46.2,44.3,44.6,43.4,45.8,49.5,65.8,86.7,91.5,82.9,79.1,76.6,79.8,80.3,80,79.6,79.4
Finland,10.9,11.5,13.9,15.4,15.2,15.8,16.4,17.6,16.5,14.3,13.9,21.9,39.3,54.2,56.2,55.2,55.4,52.2,46.8,44,42.4,40.9,40.1,42.7,42.6,39.9,38,33.9,32.6,41.5,50.1,52,57.9,60.8,64.8,68.8,68.6,66.6,65.3,65.3,75.3,73.2,74,77.5,82.1,86.8,89.1,90.6,92,93.2,94.2
France,21.3,22.6,26.2,27.7,30.2,31.9,32.4,34.8,34.7,35.5,36.8,37.8,41.7,48.2,51.6,57.8,60.6,62,62.1,61.4,59.7,59.3,61.3,65.4,66.9,68.2,65.4,65.5,69.8,84.1,86.3,88.7,91.7,94.5,96.1,96.9,98.1,98.7,98.5,98.1,114.9,112.8,111.4,109.6,113.1,116.5,119.6,122.1,124.6,127,129.4
Gabon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,90,89.3,87.9,90.1,71.3,73.4,64.5,57,87.6,73.1,72.5,81,81.1,70.2,60.3,41.7,34.9,39.2,20.1,26,21.3,21.4,21.4,31.1,34.1,44.7,64.5,62.9,62.3,59.8,83,72.9,65.6,70.6,72.7,76.2,82,86.6,92,97.1,103.3
"Gambia, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,73.3,75.2,93.9,91.7,81.3,82.6,87.3,38,39.5,38.9,42.9,49.2,49.5,58.2,71.1,69.4,80.7,87,83.6,83,85.9,83.1,83.9,80.2,80,74.4,70,64.2,58.6,53.5,49.7
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,58.5,53,50.3,54.6,44.3,35.3,28.3,22.5,26.3,33.6,31.4,27.7,28.1,28.9,30.3,36,39.5,38.9,38.2,40,59.6,49.1,39.2,38.9,36.1,34.2,33.4,33.6,33.9,34.3,35.1
Germany,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,39,41.4,45.1,47.5,54.9,57.7,58.8,59.4,60.3,59.2,58.1,59.8,63.3,65,67.1,66.4,63.7,65.2,72.4,81,78.5,79.8,77.5,74.5,71.2,68.3,64,60.8,58.7,68,68,64.4,62.4,63.5,64.4,66,67.8,69.7,71.6,73.6
Ghana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.8,17.3,21.3,34.1,50.6,47.6,42.9,45.2,37.6,51.7,74.5,57.8,54.1,49.3,38.4,31.7,17.3,21.1,23.2,25.4,32.9,31.2,35.5,42.9,50.1,53.9,55.9,57,62,62.9,79.1,86.9,92.7,79.1,70.3,59.1,56.1,53.7,51.3,49.3,47.6
Greece,22.8,27.1,29.7,34.1,40.6,47.3,47.8,53.2,57.9,60.7,74.2,75.7,81.1,101.7,99.7,100.4,103.7,102.6,100.8,102.8,108.9,110.5,107.9,104.3,105.5,109.9,105.3,104.6,110.9,128.5,147.8,175.1,164.3,180.5,182.8,180,183.7,182.6,189.6,183.7,209.9,197.8,178.4,165.2,154.8,146.7,141.9,138.1,135.6,132.9,130.2
Grenada,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,42,40.1,45.3,45.7,43.1,43.9,41.4,40.3,34.5,41.6,44.6,79.1,79.6,94.7,87.3,92.9,89.1,83.9,91.1,96.2,102.8,101.5,105.4,99.3,90.1,81.6,70.3,68.5,62.7,89.5,86.6,79.3,74.5,72.7,67.7,65.5,65.8,66.9,67.1,67.4
Guatemala,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18,19.1,17.4,19.8,20.6,20,20.9,20.8,19.6,22.8,24,23.8,24.6,25,24.7,24.8,24.9,25.1,26.4,26.4,31.5,30.6,29,27.2,26.3,27,27.8,28.7,29.5,30.1,30.8
Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.6,70.9,62,68.9,71.3,66.5,67.7,67.9,75.9,92.3,91.5,90.4,82.6,81.6,86.9,97.9,95.2,60.8,58.5,61.3,71.1,53.8,26.9,30.5,32.1,41.5,40.6,39.9,37.5,37.3,45.3,40.6,37.9,40.4,48.8,42.2,38.1,34.3,30.8,25.7,24.1
