General government gross debt (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Emerging and Developing Asia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.4,43.8,44.4,44.6,43.5,41.7,38.9,40.3,36.4,41.2,39.9,39,39,40.7,42.6,44.1,50.4,53.6,54.9,58.2,68.1,68.9,72.3,76.8,81.4,87,91.1,93.7,95.8,97.6,99.3
Emerging and Developing Europe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50.9,50.4,47.8,43.8,37.2,32,26.7,23.3,23.4,28.8,28.4,27.2,26,26.9,29.2,30.9,31.7,29.8,29.4,28.8,37.4,34.8,32.4,34.2,35,37.5,40.2,41.9,43.3,44.6,45.7
Emerging market and developing economies,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,46.1,47.1,50.4,48.6,45.8,40.9,36.4,35.1,33,37.9,36.8,36.1,36.2,37.3,39.1,42.9,48.3,50.5,51.7,54.1,63.6,62.7,62.9,66.9,69,72.7,75.8,77.6,79.1,80.4,81.6
Euro area,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.6,73.7,73.1,72.8,71.7,69.2,68.2,68.1,69.4,69.7,70.3,68.3,65.9,69.6,80,85.4,87.3,90.8,92.8,92.9,91,89.9,87.5,85.5,83.6,96.5,93.8,89.3,87.1,87.2,87.8,88.9,89.7,90.5,91.3,92.2
European Union,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,70.6,72.6,72,70.5,69.6,66.6,65.6,65.6,66.9,67,67.2,64.9,62.3,65.6,75.6,80.5,82.5,86.6,88.8,89.1,87,86,83.3,81.3,79.1,91.3,88.4,83.9,81.9,82.4,83.2,84.5,85.3,86.1,87,87.8
Latin America and the Caribbean,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.5,46.4,56.7,57.3,53.4,49.3,46.6,45.3,45.3,48.3,47.4,47.5,47.7,48.9,50.8,56.6,60.3,62.6,66.2,67.2,76.1,70.4,67.9,73.5,69.8,72.6,73.2,73.2,72.9,72.5,71.9
Major advanced economies (G7),no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,75.1,76.8,79.9,85.2,85.1,82.7,81,88.9,103.8,111.9,116.9,121,118.7,117.5,116.6,119.6,117.5,117.3,118.2,139.7,132.4,124.6,123.1,124,125.7,128,130.4,132.9,135.1,137.2
Middle East and Central Asia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,52.4,46.3,no data,57.4,51.8,52.1,40.5,32,27.5,23.6,29.3,26.5,24.4,25.4,25.3,25,34.2,41.9,42.8,41.7,44.9,54.5,50.2,43.4,43.8,44.1,45.6,46.6,46.4,46.9,47.2,47.4
Other advanced economies,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,34.9,35.7,35.9,36.7,35,33.9,33.1,31.3,32.8,35.5,35.7,36.7,38.2,39.2,40.5,41.4,41.8,41.3,41,42.9,49.7,49.3,48.1,49.6,50.1,50.7,51.3,51.5,51.5,51.5,51.3
Sub-Saharan Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,58.2,55,48.2,44.1,40.2,32.5,24.5,21.7,21,23.7,22.8,24.9,24.6,26.3,28.1,33.3,38.2,40.3,42.6,44.8,51.9,51.9,52.6,57.3,59.1,58.5,57.3,56.7,55.4,54.3,53.3
World,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,65.4,67,68.3,70,67.8,63.8,60.9,63.8,74.3,76.4,77.3,79,77.7,78,79.3,83.3,82.1,82.2,83.6,98.7,93.8,89.6,91.2,92.4,94.7,96.8,98.4,99.9,101.1,102.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
