"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Senegal,1023.165,1145.476,1275.646,1219.583,1273.172,1316.921,1344.219,1417.75,1415.523,1484.725,1486.288,1532.335,1544.175,1555.432,1541.127,1625.298,1643.935,1676.705,1755.12,1842.8,1912.037,1990.932,1974.549,2074.174,2173.462,2279.194,2342.533,2409.495,2479.474,2494.764,2540.065,2555.371,2632.776,2666.487,2802.026,2924.791,3053.32,3246.034,3393.045,3660.65,3758.161,4185.161,4537.443,4776.476,5069.258,5354.697,5463.892,5583.941,5731.652,5906.905,6126.997
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6600.612,7181.767,7854.746,8502.434,9089.188,9980.971,10934.461,11757.477,13074.726,14074.158,13771.046,14220.01,14631.481,14909.901,15306.416,15366.576,15790.748,16501.256,17285.497,18469.063,20587.305,21013.089,23669.671,26683.449,28914.407,31001.207,32741.865,34789.585,37275.205,39626.778,42243.376,45093.696
Seychelles,4231.326,4398.288,4546.514,4701.129,5050.535,5700.154,5822.811,5997.877,6515.783,7423.282,8234.709,8632.493,9419.222,10133.319,9831.913,9939.512,10971.279,12375.26,12574.798,12738.778,13460.721,13439.445,13559.84,13004.377,13021.533,14572.713,16095.537,18160.867,17722.02,17566.964,18383.846,20357.888,21318.951,22648.015,23757.054,25614.208,28789.615,31125.941,32516.479,34650.822,31455.715,30350.602,36318.158,38172.931,39918.39,42110.395,43848.792,45680.043,47590.422,49657.083,51886.988
Sierra Leone,1354.352,1474.161,1560.41,1559.379,1633.76,1541.084,1539.785,1580.975,1635.432,1742.666,1809.228,1709.494,1580.132,1625.477,1725.942,1587.615,1213.506,1011.911,1004.02,918.57,949.152,1105.976,1357.88,1466.517,1569.588,1681.76,1773.691,1848.666,1908.512,1893.798,2053.325,2186.838,2318.35,2517.485,2485.31,2375.343,2451.612,2532.713,2640.476,2704.058,2719.19,2848.706,3142.711,3370.277,3531.038,3699.415,3869.696,4037.374,4202.944,4381.776,4574.388
Singapore,8842.623,10222.662,11126.095,12388.88,13703.124,14029.232,14517.578,16237.746,18235.146,20271.401,22214.414,23814.473,25205.733,28041.622,30835.775,32731.615,34394.481,36645.96,35035.246,37263.812,40838.724,40211.67,42053.189,45499.845,50728.497,54868.295,59755.092,64180.645,63182.714,61762.627,70332.761,74672.041,77510.963,81300.725,84863.023,87160.039,90108.959,95744.182,103963.363,105335.292,101518.318,132617.354,143072.153,143904.278,150908.015,156969.073,161545.885,167017.947,172579.137,178697.256,185168.253
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7696.552,8301.948,9092.368,9880.982,10555.417,11064.516,11156.129,11487.626,12134.558,12867.06,13768.775,14909.342,16371.559,18381.948,20921.552,22456.258,21325.686,23016.371,24084.14,24862.776,25433.093,26551.707,28157.316,28952.329,30267.374,31530.983,34008.983,35334.152,38339.258,41435.954,43948.552,46002.965,47596.544,49375.739,51586.222,53894.405,56172.303,58566.934
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11880.482,12565.416,13513.934,14361.016,15044.081,16121.465,16819.617,18016.027,18978.187,19930.956,20863.915,21944.512,23542.446,25201.891,27434.992,30084.581,31699.852,29153.966,29623.436,30385.125,29970.879,30181.077,31520.456,32546.117,33830.836,36188.66,38751.258,42525.562,41897.915,46263.202,50919.289,53807.858,55914.12,57716.483,59997.755,62450.404,64940.411,67578.976,70414.29
Solomon Islands,967.062,1005.209,1015.317,1061.182,1067.29,1034.664,1022.969,1104.758,1126.199,1186.888,1215.986,1289.099,1439.008,1485.148,1591.032,1736.69,1746.584,1712.457,1707.51,1678.7,1422.093,1294.83,1237.824,1303.496,1385.43,1464.394,1538.799,1605.73,1685.758,1694.792,1810.91,1928.473,1938.335,2020.867,2027.965,2029.93,2111.124,2163.114,2221.31,2245.992,2155.686,2266.574,2438.21,2546.428,2625.835,2711.602,2786.31,2863.508,2942.968,3029.551,3121.732
Somalia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1652.846,1727.66,1756.849,1804.017,1748.975,1896.331,1714.804,1726.714,1638.928,1583.397,1694.812,1781.736,1849.059,1897.715,1941.228,1989.149,2041.117,2101.102,2167.582
South Africa,4839.799,5441.363,5608.792,5575.093,5920.074,5892.424,5878.449,6020.376,6357.938,6620.661,6694.005,6686.387,6526.387,6597.894,6793.258,7000.519,7297.829,7490.689,7497.468,7671.622,8052.92,8304.166,8585.856,8930.722,9487.631,10182.338,10952.147,11701.985,12142.636,11859.094,12187.402,12633.431,12965.711,13295.661,13495.807,13582.862,13599.946,13802.902,13434.461,13464.726,12789.212,13876.12,14992.431,15464.791,15722.097,16049.821,16283.244,16559.452,16863.021,17216.118,17597.99
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,608.354,297.351,372.517,373.102,364.59,310.013,288.904,509.679,582.824,625.73,1022.662,1009.325,1047.484,770.521,953.68,1154.347,1178.617,1206.338,1234.379,1268.385
Spain,8315.309,8979.648,9601.233,10094.715,10594.422,11148.254,11729.096,12676.346,13787.613,15015.372,16148.187,17070.701,17550.247,17675.146,18424.415,19540.294,20332.789,21426.329,22556.378,23837.945,25395.402,26741.771,27376.909,28251.894,29397.704,30887.165,32554.065,33947.22,34436.583,33165.942,33470.621,33833.094,33551.295,33792.2,34956.162,36718.666,38083.753,39762.189,40895.469,43857.044,39293.538,44025.218,49536.031,52045.408,54674.716,56887.928,58347.76,59729.325,61124.991,62718.242,64505.118
Sri Lanka,1087.114,1236.872,1364.85,1448.404,1584.563,1698.991,1789.681,1842.329,1939.31,2040.108,2224.508,2518.082,2466.443,2685.213,2935.16,3152.169,3575.893,3989.395,3947.813,4097.169,4515.02,4494.648,4697.155,5031.776,5402.584,5871.988,6467.279,7041.748,7550.451,7811.329,8481.77,9344.199,10326.39,10842.729,11626.166,12115.637,12707.666,13616.185,14178.023,14112.953,12940.904,14316.135,14055.431,14083.619,14994.051,no data,no data,no data,no data,no data,no data
Sudan,1102.935,1246.228,1338.877,1332.607,1244.842,1241.443,1354.317,1437.316,1522.4,1564.827,1538.454,1652.168,1731.89,1769.245,1817.546,2092.342,2196.02,2320.522,2488.862,2579.053,2794.279,3088.257,3241.297,3419.049,3597.764,3828.4,4097.683,4337.296,4474.57,4266.628,4371.443,5306.243,4179.547,4200.981,4338.349,4456.487,4571.885,4553.347,4580.248,4247.575,4454.293,3760.55,3827.793,3065.864,2346.901,2418.619,2627.311,2990.989,3238.83,3421.566,3583.576
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8121.304,7141.541,7488.642,7398.16,6934.126,7775.092,8687.558,9330.741,9515.477,9436.582,9512.953,10068.814,10485.677,11162.742,12084.463,12927.421,13935.79,14855.776,15555.571,15908.058,16683.481,17848.869,18495.197,19062.123,19148.684,18526.195,17524.165,17884.362,18140.301,20028.379,17041.996,18299.769,19769.932,20704.701,21519.078,22303.229,23199.397,24226.889,31383.238,45771.561,47309.008
Sweden,10731.92,12273.154,13206.689,13986.972,15097.882,15904.603,16681.291,17613.9,18599.966,19666.283,20347.123,20669.344,20801.106,20778.097,21895.58,23214.288,24023.261,25177.629,26521.566,28004.352,29892.928,30890.364,31971.324,33086.678,35256.102,37227.101,39880.858,41961.491,42038.913,40132.491,42614.564,44551.529,44847.563,45704.229,47067.648,49067.248,49859.623,51069.01,52677.601,56641.384,57253.292,62361.738,67190.729,69335.937,71396.348,73069.51,75229.824,77290.652,79335.334,81550.891,83960.325
Switzerland,18921.043,20946.056,21811.472,22671.009,24141.973,25718.061,26598.146,27516.411,29224.855,31462.702,33578.056,33968.854,34256.632,34688.398,35576.001,36273.301,36879.732,38250.562,39730.793,40787.676,43179.947,44653.95,44965.67,45439.84,47530.974,50077.393,53443.861,56665.398,58651.707,56837.114,58735.722,60434.599,61636.573,63181.797,64936.187,65776.777,67070.398,68481.498,70973.42,74042.589,73210.06,82058.002,89924.771,93129.049,95155.414,97659.278,99972.91,102043.437,104823.005,107177.474,110369.572
Syria,2072.834,2378.938,2507.588,2562.195,2402.177,2570.925,2417.881,2426.469,2739.199,2587.213,2863.504,3182.508,3581.75,3830.209,4019.565,4216.895,4314.283,4238.804,4418.468,4236.195,4318.787,4457.101,4662.01,4523.967,4816.097,5107.609,5396.814,5715.679,5939.128,6175.748,6374.969,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,1501.353,1444.682,1547.314,1509.822,1433.758,1574.618,1472.871,1424.907,1463.077,1523.238,1503.201,1528.838,1529.378,1564.428,1602.622,1638.079,1661.89,1676.216,1706.027,1741.744,1757.686,1810.768,1838.082,1947.029,2024.783,2181.977,2395.055,2479.19,2669.418,2711.234,2723.471,2776.481,2853.17,2991.724,3134.43,3155.711,3294.727,3436.302,3941.033,4655.485,5144.547,5732.695,6032.719,6155.021,6251.505,6459.866,6751.88,6995.962,7217.608,7456.506,7714.619
Taiwan Province of China,3214.198,3782.148,4135.906,4617.18,5187.659,5537.977,6236.834,7127.491,7879.316,8813.203,9533.924,10575.558,11604.679,12572.759,13685.928,14755.825,15829.564,16906.226,17664.188,18978.359,20463.054,20511.797,21860.433,23147.634,25327.762,27429.959,29768.739,32553.238,33331.154,32877.474,36619.31,38642.912,40079.734,41670.94,44283.198,45236.442,46560.345,49064.155,50151.528,52630.627,57995.999,64701.984,71502.185,74480.64,80091.125,85126.907,88564.617,92399.978,96249.754,100352.67,104566.868
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1276.974,1154.419,921.237,814.166,783.51,798.431,833.576,851.365,927.546,1026.848,1116.427,1229.948,1368.606,1475.039,1592.945,1726.277,1857.669,1899.638,2002.467,2146.068,2297.331,2453.253,2604.317,2725.605,2878.625,3072.654,3136.544,3548.583,3759.648,4113.977,4672.332,5152.167,5623.167,6088.848,6433.628,6748.024,7056.65,7390.939,7752.467
Tanzania,504.965,538.584,557.718,575.345,597.941,625.778,660.29,695.522,729.514,763.045,820.739,837.736,832.915,834.286,838.239,860.763,892.415,917.26,940.761,977.054,1022.915,1080.093,1143.886,1212.38,1305.019,1404.9,1473.627,1595.953,1670.019,1720.61,1799.105,1923.804,1999.961,2107.873,2221.28,2309.645,2418.123,2549.584,2670.909,2927.514,3217.527,3426.876,3730.663,3950.196,4145.874,4371.129,4594.802,4833.331,5080.056,5342.924,5615.815
Thailand,1598.364,1816.495,1993.635,2147.307,2310.547,2449.596,2589.753,2854.52,3290.2,3775.574,4311.361,4774.786,5280.969,5822.111,6363.349,6954.381,7399.476,7233.626,6675.484,6998.41,7398.125,7753.013,8288.516,8992.318,9747.61,10406.882,11192.938,12053.343,12432.009,12359.902,13384.361,13709.31,14905.88,15496.506,15853.177,16435.534,17097.763,18068.566,19405.742,20507.22,19669.331,20756.86,22775.878,24057.224,25250.75,26358.583,27245.236,28299.919,29421.76,30670.235,32022.08
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2317.518,2537.365,2198.771,2045.38,2076.604,2181.401,2092.916,2302.292,2541.63,2744.299,2963.649,3129.09,3267.411,3352.477,3494.193,3544.192,3614.756,3496.357,3596.111,4601.285,6190.338,6883.968,5755.976,4833.893,4806.456,5018.747,5112.445,5294.522,5477.157,5669.912,5876.335
Togo,906.284,927.038,914.33,870.985,923.975,957.523,978.269,948.327,1048.977,1101.59,1175.3,1173.601,1129.457,973.558,1128.702,1320.524,1245.484,1274.183,1224.143,1237.52,1219.197,1224.161,1258.395,1335.214,1323.278,1268.066,1304.746,1317.874,1357.872,1400.506,1460.235,1535.221,1619.229,1698.52,1779.767,1847.349,1922.885,1985.526,2067.066,2214.699,2353.268,2573.785,2847.503,3043.896,3206.497,3372.914,3536.054,3702.698,3875.162,4060.73,4260.396
Tonga,723.128,897.509,1069.201,1163.072,1718.295,1881.75,2099.615,2182.518,2169.55,2268.09,2451.316,2667.717,2611.791,2658.714,2776.784,3049.595,3097.858,3126.02,3220.761,3327.596,3516.613,3633.299,3839.784,3901.681,3914.909,3996.044,4005.499,4001.272,4261.574,4054.949,4127.079,4488.443,4704.402,4754.845,4959.196,5086.988,5502.483,5785.47,5963.935,6055.069,6251.43,6566.184,6887.898,7309.826,7665.666,8086.178,8445.263,8765.454,9068.444,9362.225,9677.403
Trinidad and Tobago,5998.426,6759.064,7329.436,6723.561,6468.912,6315.387,6162.37,5970.741,5891.576,6028.202,6305.224,6677.699,7473.15,7556.794,7955.603,8400.426,9140.137,9979.024,10894.959,11914.758,12992.336,13727.72,14872.838,17185.762,18844.88,20480.267,23993.762,25576.619,26803.09,25541.868,26601.621,26935.45,28522.931,29788.629,31220.996,31199.623,28969.562,27919.802,28040.955,28664.665,26105.5,29631.117,31847.413,33342.139,34857.18,35899.578,36813.887,38203.588,39865.406,41539.287,42884.027
Tunisia,2067.356,2322.487,2395.774,2545.434,2756.435,2908.801,2814.777,3013.375,3069.631,3214.372,3463.562,3646.996,3941.955,4049.826,4204.186,4330.891,4640.161,4922.284,5161.264,5488.956,5797.046,6098.212,6224.871,6595.876,7139.624,7556.217,8122.419,8814.086,9266.295,9502.653,9845.35,9731.668,10212.049,10514.707,10900.432,10980.21,11081.035,11404.656,11949.406,12592.25,11989.274,12406.364,13519.713,13925.51,14386.399,14982.77,15456.303,15858.348,16231.324,16641.55,17086.302
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2340.274,2134.612,1757.415,1628.295,1518.131,1348.225,1435.098,1674.9,2007.746,2444.226,2843.365,3360.219,3916.382,4516.908,5109.009,5759.7,6655.175,7019.232,8185.414,9975.594,11663.158,12828.785,13484.845,13478.22,13860.702,14476.838,15765.973,17002.343,16646.744,18183.276,19842.799,21166.573,22068.084,22855.95,23541.524,24230.236,24932.583,25691.057,26518.456
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2743.518,2698.87,2684.451,2630.937,2712.338,2940.233,3153.334,2956.307,2881.181,3121.465,3009.345,3185.584,3300.941,3651.524,3871.326,4141.321,4280.128,5079.859,5013.312,5208.369,4775.959,5406.152,5853.55,6157.997,6412.357,6675.814,6920.746,7161.724,7404.519
"Türkiye, Republic of",3584.841,4003.127,4297.196,4573.774,4952.673,5216.303,5577.783,6169.479,6403.141,6552.891,7299.294,7488.465,7984.857,8690.134,8259.668,8900.132,9551.879,10293.469,10579.536,10253.958,11060.749,10545.169,11253.682,11997.387,13381.718,14874.906,16213.603,17288.226,17559.648,16575.026,17934.95,20018.734,21101.17,22984.735,24133.261,25429.966,26170.19,28353.426,28640.417,29016.608,29209.214,32412.254,36247.779,39325.253,41548.624,43786.195,45994.441,48279.348,50706.642,53316.542,56152.105
Uganda,416.071,459.012,511.745,540.971,526.619,509.592,506.589,520.614,562.514,599.608,639.188,649.483,681.059,719.334,766.009,827.45,869.26,896.258,932.313,988.672,1016.88,1095.437,1152.548,1204.27,1264.418,1387.899,1480.841,1588.384,1727.02,1816.127,1912.865,2034.498,2054.86,2109.8,2206.158,2336.1,2293.203,2419.232,2607.96,2795.794,2759.539,3005.775,3314.237,3492.008,3689.528,3904.245,4131.154,4356.356,4551.431,4781.952,5018.311
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8035.87,7079.341,5619.826,5079.862,4699.376,4676.574,4679.427,4777.596,5222.077,5860.453,6321.708,7115.62,8228.418,8815.275,9837.406,10997.156,11512.654,9873.363,10445.159,11279.174,11537.065,11763.163,11834.096,10819.353,11235.198,11761.234,12795.435,14482.52,15840.806,18207.621,16505.591,18321.109,19718.837,20903.942,21890.31,22898.558,24289.019,25769.944,27346.855
United Arab Emirates,63504.165,68946.466,63879.38,60816.895,60792.142,58032.056,45802.005,47449.435,40084.476,46395.68,59988.988,60622.356,61297.866,60740.505,62264.448,62694.855,66408.442,69446.612,64494.108,63455.979,69756.377,68507.103,67242.025,68434.828,70368.158,70197.457,74230.007,69032.513,62520.855,57177.105,60746.185,63635.437,65194.433,66839.524,67495.317,69057.782,70484.433,69592.351,77181.241,79254.201,67594.108,66592.118,73498.757,76596.069,79253.469,84402.77,89558.23,94695.674,99813.27,105181.146,110565.957
United Kingdom,9383.598,10195.708,11051.619,11957.521,12643.321,13541.412,14210.678,15319.75,16679.824,17700.247,18413.659,18703.393,19127.961,19978.979,21047.371,21939.61,22863.383,24340.221,25381.252,26433.151,28108.789,29367.943,30230.49,31654.589,33130.818,34834.455,36513.365,38178.204,38499.787,36688.03,37661.401,38553.511,39601.136,40743.604,42452.372,43453.689,44343.18,46061.349,47107.713,49940.539,47987.784,52872.448,58872.808,60692.866,62011.034,63759.051,65215.456,66905.253,68634.662,70500.689,72522.417
United States,12552.943,13948.701,14404.994,15513.679,17086.441,18199.32,19034.766,20000.968,21375.999,22814.077,23847.977,24302.776,25392.931,26364.192,27674.021,28671.48,29946.973,31440.087,32833.666,34496.241,36312.782,37101.453,37945.761,39405.354,41641.617,44034.256,46216.853,47943.353,48470.553,47102.428,48586.288,50008.108,51736.738,53363.904,55263.817,57006.926,58179.697,60292.978,63165.278,65561.32,64518.063,71365.337,77944.095,82523.258,86144.797,89598.86,92883.466,95960.741,99125.655,102275.842,105498.573
Uruguay,4808.521,5326.808,5091.805,4949.638,5021.414,5162.845,5630.004,6076.36,6284.684,6566.747,6795.213,7231.589,7935.433,8289.655,8998.009,8997.426,9613.508,10198.935,10694.507,10560.518,10548.488,10364.145,9725.366,10022.017,10796.742,11926.975,12777.164,13978.514,15250.87,15924.951,17281.023,18461.465,19385.847,20543.32,21482.687,21666.716,22155.637,22875.665,23624.803,24970.034,24909.315,28495.125,31953.614,33430.493,35372.248,37190.134,38813.71,40440.896,42083.8,43809.006,45650.966
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2182.161,2133.282,2025.687,2012.749,2044.729,2120.616,2203.063,2296.942,2447.723,2573.754,2685.54,2818.553,3074.725,3352.191,3673.597,4077.169,4461.392,4771.227,5085.358,5365.851,5768.397,6202.69,6634.075,7056.407,7413.922,7744.67,8058.262,8469.366,8372.248,9163.298,10193.925,11002.935,11721.325,12558.992,13275.699,13974.944,14704.322,15490.974,16340.304
Vanuatu,944.06,1042.339,1091.96,1141.042,1255.586,1259.798,1246.324,1222.651,1209.993,1267.977,1449.439,1514.914,1558.518,1576.492,1678.842,1687.393,1713.74,1782.488,1777.503,1763.484,1867.587,1803.528,1697.54,1763.974,1841.287,1954.812,2136.451,2206.681,2321.769,2356.129,2357.29,2425.718,2439.596,2436.662,2485.768,2549.691,2625.533,2727.783,2806.647,2879.141,2680.324,2667.663,2905.956,2974.594,2975.149,2995.597,3031.572,3061.28,3077.928,3098.535,3123.102
Venezuela,7947.685,8332.368,8819.177,8034.492,8520.131,8625.214,9222.009,9661.757,10393.414,9075.794,9700.557,10745.459,11388.368,11427.619,11146.894,11575.821,11516.704,12210.037,12140.77,11350.44,11640.053,12103.331,11021.09,10201.204,12195.554,13659.605,15232.895,16756.514,17710.636,16993.128,16695.002,17493.729,18551.879,18850.906,18176.005,16970.969,14169.523,12271.362,10622.181,8116.199,5730.287,6128.963,7266.338,7888.601,8570.321,8785.445,8606.221,no data,no data,no data,no data
Vietnam,580.243,658.233,741.262,809.567,892.146,953.517,985.401,1012.621,1080.975,1187.17,1241.276,1333.055,1455.904,1583.18,1730.507,1903.867,2086.155,2259.592,2379.903,2491.143,2684.087,2894.591,3106.582,3368.774,3694.651,4060.464,4436.226,4835.432,5157.883,5416.516,5776.431,6281.367,6678.394,7093.364,7598.336,8116.622,8649.319,9317.097,10176.123,11108.123,11668.385,12101.363,13933.544,15052.708,16358.698,17688.249,18870.21,20159.229,21503.458,22903.789,24437.52
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2523.942,2575.443,2505.516,2762.538,3095.604,3295.333,2989.704,2697.174,2332.552,2638.916,3213.911,3583.044,3551.574,3676.869,3919.051,4171.454,4353.602,4750.391,5010.406,5210.178,5171.468,5292.605,5688.932,5747.277,5850.954,6127.388,5608.467,5333.288,5804.31,5609.921,4124.553,no data,no data,no data,no data,no data,no data
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1742.468,1842.813,1963.408,2013.229,2114.914,2201.127,2267.679,2351.297,2442.377,2491.649,2623.616,2701.846,2768.461,2844.1,2948.809,3113.419,3205.281,3293.606,3369.508,3410.57,3603.03,3113.383,3004.921,3164.322,3116.261,2196.886,1950.402,1828.716,1829.707,1843.465,1661.034,1672.917,1767.264,1742.75,1707.537,1673.722,1656.707,1737.677,1814.597,1889.746,1971.832
Zambia,1247.86,1410.108,1408.42,1402.802,1385.843,1404.813,1414.976,1428.853,1569.036,1524.187,1524.162,1518.705,1539.303,1530.193,1314.83,1347.903,1422.252,1463.947,1437.043,1485.707,1535.502,1604.748,1651.851,1746.65,1859.681,1989.758,2138.046,2296.795,2434.52,2581.955,2783.4,2899.324,3074.49,3179.235,3278.362,3298.422,3348.456,3419.715,3468.844,3385.798,3179.265,3526.507,3866.061,4110.939,4266.16,4503.432,4749.815,5013.1,5220.555,5430.06,5653.032
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3958.888,3981.15,3909.419,3989.539,3749.366,3200.775,3057.107,2894.554,2834.581,2805.362,2376.875,2545.313,3062.846,3535.595,4007.505,4045.866,4108.685,4134.068,4118.188,4320.832,4145.16,4968.01,5203.229,6086.798,6781.324,7231.443,7376.54,7842.812,8174.159,8435.603,8687.89,8955.437,9247.948
Africa (Region),1737.3,1854.226,1966.508,2016.186,2096.989,2159.771,2187.267,2210.238,2304.58,2402.205,2458.498,2510.604,2491.693,2498.895,2543.484,2601.283,2709.253,2766.273,2852.149,2903.384,3005.237,3131.053,3258.135,3406.334,3614.953,3845.754,4085.416,4335.43,4525.413,4577.633,4796.958,4873.768,5046.435,5180.462,5331.841,5419.46,5436.613,5563.62,5740.16,5984.466,6009.95,6372.269,6964.863,7294.446,7536.352,7857.834,8149.482,8449.415,8759.447,9098.846,9454.496
Asia and Pacific,1138.199,1286.958,1395.988,1501.093,1622.793,1739.719,1834.069,1963.28,2148.287,2310.031,2485.293,2650.469,2827.682,2988.293,3162.775,3380.474,3607.137,3781.86,3771.579,3940.373,4201.66,4391.524,4599.417,4908.493,5320.786,5800.68,6344.783,6958.409,7343.283,7575.465,8187.161,8756.887,9309.146,9907.981,10519.054,11090.891,11673.793,12435.403,13268.512,14054.484,14202.608,15789.079,17514.941,18960.79,20183.912,21663.161,22835.858,24079.122,25366.247,26742.144,28199.149
Australia and New Zealand,10188.863,11429.546,12018.385,12287.475,13387.924,14273.053,14696.112,15509.015,16375.325,17447.257,18087.469,18240.896,18893.153,19944.446,21163.459,22019.846,23033.399,24204.364,25207.095,26423.978,27605.961,28620.111,29931.874,31111.51,32910.077,34532.061,36001.663,37880.083,38696.276,38878.548,39726.176,41019.402,42615.081,43651.1,44955.971,45802.265,46740.986,47995.2,49726.776,52097.817,52337.066,58242.153,63714.718,65858.617,66924.215,68911.21,70809.526,72722.487,74679.28,76795.084,79100.336
Caribbean,2826.618,3103.513,3256.962,3274.244,3350.881,3408.321,3538.313,3659.218,3737.04,3897.824,4177.404,4271.346,4394.778,4427.157,4402.953,4651.894,4857.746,5031.767,5153.403,5338.037,5540.065,5682.664,5848.031,6203.775,6476.248,6814.006,7349.205,7726.128,7906.463,7734.134,7721.675,7954.077,8179.333,8405.156,8626.137,8673.628,8562.569,8661.454,8728.578,8914.327,8141.081,9008.782,10536.251,11542.053,12811.383,13426.199,14522.288,15793.34,17073.031,18628.201,19077.418
Central America,2858.766,3087.222,3142.02,3197.619,3321.242,3374.238,3448.409,3604.461,3661.936,3848.382,3983.709,4129.766,4445.651,4702.782,4575.844,4776.629,4936.508,5188.026,5418.812,5600.026,5829.132,5981.719,6161.799,6308.814,6618.031,7081.822,7687.152,8331.997,8735.517,8640.82,9051.355,9574.925,10002.891,10494.013,11029.124,11522.096,11991.544,12537.055,12863.785,13722.493,13010.006,14638.112,16336.328,17404.633,18300.031,19165.463,20011.459,20909.302,21855.551,22871.652,23989.992
Central Asia and the Caucasus,3584.841,4003.127,4297.196,4573.774,4952.673,5216.303,5577.783,6169.479,6403.141,6552.891,7299.294,7488.465,5520.257,5676.139,5367.435,5613.02,5974.755,6402.526,6589.85,6527.667,7094.743,7067.119,6734.999,7190.56,7966.929,8874.293,9779.141,10634.455,10983.632,10668.06,11469.727,12548.039,13235.344,14261.506,14902.65,15472.427,15805.719,16840.969,17195.753,17917.458,17856.513,19779.865,21921.833,23527.699,24742.308,31757.447,33288.252,34821.251,36363.678,38041.437,39856.25
East Asia,1265.56,1434.132,1570.709,1706.354,1874.551,2042.432,2170.135,2354.148,2601.789,2801.081,3012.252,3263.009,3475.969,3687.092,3947.429,4237.989,4534.236,4788.015,4893.338,5138.852,5531.76,5843.111,6197.071,6641.357,7227.242,7931.415,8764.624,9754.932,10418.273,10829.594,11848.441,12788.565,13666.072,14636.85,15612.296,16520.368,17424.004,18621.902,19885.766,21175.51,21948.104,24482.732,26950.991,29210.323,31204.175,33319.09,35180.453,37127.933,39107.827,41170.4,43291.631
Eastern Europe ,5110.281,5386.921,5701.388,6138.582,6502.055,6776.838,7093.707,7413.426,7764.825,8046.515,7781.686,7213.323,9057.289,8588.554,7955.876,8204.464,8244.923,8520.443,8504.795,8923.42,9811.897,10544.858,11236.116,12213.293,13493.044,14750.582,16397.779,18176.339,19457.599,18327.163,19197.98,20394.013,21272.695,21899.2,22543.525,22694.998,23234.9,24432.062,26638.541,29331.357,29972.514,35190.288,38194.931,40897.605,43481.065,45393.612,47133.234,48927.915,50871.194,52936.486,55145.61
Europe,9712.381,10653.11,11358.034,12008.127,12734.905,13440.317,14050.524,14781.743,15859.134,16979.218,17920.328,18611.739,16086.986,16028.894,16320.377,16846.766,17296.377,18067.72,18651.088,19380.66,20740.453,21782.046,22505.185,23437.694,24869.849,26333.167,28260.57,30148.412,31122.356,29719.437,30776.415,32050.395,32678.076,33347.094,34386.111,35127.315,35982.317,37579.277,39610.793,42721.399,42110.93,47518.401,52419.186,54867.378,57094.725,59175.224,60976.16,62868.194,64840.872,66926.901,69144.323
Middle East (Region),9641.357,10317.792,10148.764,10072.179,9866.974,9726.073,9083.097,9073.755,9073.866,9283.977,9285.709,10106.695,10597.596,11011.649,11052.885,11336.413,11791.992,12144.127,12369.071,12429.306,13184.925,13395.374,13712.197,13071.731,14286.761,15094.006,16026.349,16876.816,17470.505,17303.379,18090.985,20674.478,21174.124,21447.921,21923.368,22007.725,22678.373,22892.915,24264.368,23784.9,21202.487,24235.485,27281.402,28254.996,28891.595,29855.975,30906.624,31916.317,32915.664,33955.406,35083.929
