"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Canada,11862.755,13269.808,13481.384,14224.769,15460.587,16552.087,17075.347,17983.107,19181.534,20052.26,20529.995,20517.188,20919.697,21733.519,22948.032,23808.51,24398.047,25623.086,26690.736,28232.099,30077.518,31003.774,32081.282,32995.763,34604.971,36488.719,38218.881,39669.53,40404.68,39019.001,40261.543,41962.427,43035.423,44315.275,45914.79,46266.588,46699.042,48384.579,50068.12,50584.055,48630.152,56223.015,61704.095,63173.254,63869.516,65500.245,67713.835,70080.606,71983.288,73920.946,75935.794
Central African Republic,548.684,658.446,657.585,626.738,696.995,726.024,767.49,770.297,800.297,846.305,862.765,857.668,808.241,791.652,881.892,900.69,840.441,865.487,880.341,893.89,857.532,875.285,892.186,865.987,869.681,903.197,952.848,1000.221,1024.607,1036.998,1137.584,1186.447,1253.959,805.057,814.786,870.474,904.932,944.671,981.463,1087.125,1149.868,1202.388,1288.584,1352.683,1342.364,1369.326,1392.642,1420.142,1450.315,1482.81,1521.863
Chad,502.145,479.801,524.858,615.915,654.718,709.043,744.289,766.368,826.267,847.485,878.547,971.175,985.123,956.384,997.477,977.472,982.667,1020.581,1065.93,1035.84,1012.021,1112.521,1179.377,1327.508,1754.115,1875.005,1856.628,1923.592,1955.435,1878.023,2092.114,2158.642,2315.226,2343.75,2360.492,2379.604,2242.835,2167.59,2300.513,2446.062,2270.441,2580.796,2810.493,2973.007,3065.234,3155.027,3235.842,3308.835,3396.054,3499.303,3613.744
Chile,3479.431,3979.135,3592.235,3570.9,3856.52,3994.562,4227.811,4538.364,4955.684,5601.557,5926.103,6485.001,7204.35,7737.28,8174.067,8958.564,9443.572,10178.485,10585.6,10573.653,11216.877,11696.47,12124.575,12812.965,13890.975,15011.64,16245.759,17367.617,18175.132,17886.393,18957.807,20326.607,21740.976,22624.125,23199.347,23673.888,24055.81,24479.457,25496.434,25733.104,25236.623,28759.429,31230.083,32338.642,33805.304,35286.468,36430.453,37679.563,38980.374,40383.813,41859.648
"China, People's Republic of",275.489,312.603,356.162,404.691,476.786,550.391,602.025,677.821,768.187,819.455,870.593,979.114,1131.236,1304.443,1490.1,1671.209,1852.057,2038.952,2205.211,2390.26,2633.912,2897.072,3192.526,3563.585,4005.97,4577.071,5287.778,6167.771,6857.571,7514.889,8371.264,9294.288,10134.737,11042.848,11996.128,12893.511,13807.5,14939.698,16225.262,17586.601,18384.413,20827.093,23016.507,25188.583,27132.068,29191.097,31022.767,32938.889,34888.826,36914.431,38986.033
Colombia,2801.961,3068.549,3218.437,3325.304,3486.777,3734.074,3949.174,4176.832,4407.565,4640.516,4920.131,5101.21,5337.844,5668.204,5979.179,6314.697,6457.384,6706.055,6715.682,6442.216,6680.547,6857.435,7049.433,7377.448,7882.084,8387.622,9118.01,9881.625,10288.044,10355.521,10833.798,11701.609,12262.505,12986.424,13677.285,14074.832,14345.25,14616.787,15481.289,16349.402,15587.666,17724.572,20153.624,20833.399,21494.1,22396.001,23157.911,23985.475,24889.017,25906.938,26978.066
Comoros,1130.071,1272.798,1372.874,1436.99,1535.61,1584.917,1605.778,1633.967,1727.017,1729.478,1874.345,1772.371,1900.124,1950.238,1871.437,1975.486,1958.766,2036.15,2015.944,2057.805,2043.198,2158.268,2246.215,2289.479,2377.954,2541.054,2522.492,2559.829,2658.416,2705.519,2783.237,2896.349,2979.362,3098.237,3150.057,3147.053,3211.995,3325.504,3256.076,3274.703,3228.773,3363.698,3570.404,3728.632,3861.612,4015.311,4159.861,4315.668,4478.062,4631.4,4797.592
"Congo, Dem. Rep. of the",985.276,1053.904,1078.356,1100.081,1156.826,1160.646,1200.293,1222.549,1230.922,1222.722,1147.302,1051.245,925.955,788.92,729.26,740.764,719.3,643.049,612.821,586.138,534.609,520.011,527.421,555.725,595.013,652.514,684.577,738.766,782.899,766.921,810.544,861.995,924.244,998.321,1056.049,1098.573,1078.028,1101.363,1142.319,1213.148,1280.05,1449.232,1642.005,1789.041,1890.479,1974.505,2049.503,2127.014,2207.086,2292.914,2385.139
"Congo, Republic of ",1622.539,1767.879,1864.799,1924.768,1980.473,2028.668,2054.573,2089.968,2558.701,3034.369,3084.071,3206.479,3324.116,3350.369,3279.09,3387.812,3476.258,3429.539,3698.544,3517.734,3869.642,3626.998,3633.606,3620.712,3586.776,3897.197,4178.399,3862.892,4049.206,4369.215,4663.61,4709.541,5130.013,5056.974,5360.943,5095.42,4771.62,4476.994,5636.426,5766.755,4813.316,5707.174,6082.724,6257.285,6369.716,6515.358,6634.708,6774.223,6945.72,7127.029,7314.704
Costa Rica,4174.002,4333.627,4142.028,4301.714,4678.343,4718.583,4931.649,5148.864,5367.199,5743.062,6023.621,6223.229,6799.154,7263.72,7529.621,7782.55,7818.356,8177.897,8647.548,8923.619,9547.188,9737.003,10050.676,10524.19,11107.53,11732.177,12787.714,14011.001,14741.221,14487.944,15163.128,15951.569,16822.175,17312.577,18011.357,18615.89,19350.081,20279.603,21221.974,22990.944,21694.418,23580.956,26159.007,28249.906,29935.707,31485.04,32830.962,34259.319,35729.769,37302.969,38985.611
