"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Peru,12.562034,12.948861,15.432392,15.220377,14.767459,16.082383,16.420141,15.696104,14.645026,13.252677,13.037081,14.097562,14.431162,14.524862,14.666125,14.658825,13.702341,12.967021,11.73908,11.486546,11.500933,12.607504,13.820799,14.13287,12.31083,12.481039,11.377094,9.5537605,8.1544348,8.2147417,10.169679,13.148819,13.226542,15.68001,13.848297,11.095532,9.2963411,8.407132,10.195849,8.7513248,10.455861,9.0133762,11.808041,14.404414,17.61916,21.05315,26.710605,31.574419,34.859695,36.401434,32.412521,29.323312,26.663597,22.870527,21.354707,20.946303,20.769457,25.817909,29.905288,29.962526,30.194931,33.077195,34.550385,37.915986,42.993603,49.0633,50.762877,56.09604,57.858564,57.8756,71.211319,62.441193,60.356302,54.020188,49.09212
Philippines,6.8455032,7.557239,7.2812022,7.6265102,8.2018682,8.9010372,9.1903267,10.449084,10.381594,10.810297,11.3123,14.5708,15.594242,17.506419,19.153461,18.294928,18.7713,19.828635,20.173152,20.002501,19.897428,19.4794,20.676229,22.403846,23.802747,23.864626,25.272896,26.113814,28.798873,29.89773,32.295469,33.740155,34.327579,37.914215,25.135775,20.661334,15.258272,16.40974,16.56082,17.744011,19.745797,18.282843,21.038598,27.130234,29.880176,38.575874,51.737058,62.430691,54.957196,49.959659,47.762426,45.329079,43.005194,39.448139,39.19851,34.483862,32.906722,31.70558,33.855368,35.672243,35.893241,38.013677,40.623586,44.356463,48.613657,51.984747,53.985414,56.038996,57.936561,57.647498,64.836593,62.556114,61.743312,59.882305,60.4292
Poland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,28.080703,26.345963,22.966595,22.074061,25.770692,27.272113,33.572201,36.760492,39.482357,42.208268,48.80053,47.664157,42.56783,43.191078,49.767146,56.75998,69.587226,69.507881,72.68049,76.636733,76.833481,79.458287,82.063169,83.231808,85.984256,81.135506,79.949558,77.142996,78.59022,73.833096,65.223247,59.749479,58.423087
Portugal,45.457654,43.666846,43.987911,42.079009,45.498898,49.673739,51.362119,56.202991,61.289662,59.757696,64.330698,59.862763,64.679463,67.689879,72.997341,75.230619,78.970276,75.00977,79.824312,88.661899,88.851289,98.044253,108.25334,119.61403,117.01024,119.16359,120.85003,116.97392,115.23405,112.25684,111.79865,119.81604,130.19463,135.45312,133.97336,118.0297,102.1275,92.908732,88.103873,83.501061,76.536833,81.899387,85.438131,94.815533,96.470543,93.421769,102.27913,106.13412,118.90701,131.20959,142.75257,154.35157,160.29412,167.5715,176.63765,180.86415,184.2393,193.90096,206.29661,215.39707,217.96182,223.08399,231.03833,219.30434,208.36889,197.34593,184.65743,177.8664,168.15904,160.17025,176.15583,168.33515,152.22471,137.07212,130.54627
Qatar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.71453,18.270317,19.01051,16.729892,14.64236,13.552896,12.889003,14.666227,17.240279,20.291667,21.613799,30.69734,32.895218,26.779386,22.395417,24.821343,35.008497,44.663608,38.697996,49.014719,77.38741,79.947899,88.313825,95.189596,64.189235,97.116609,115.21137,76.590516,65.178784,60.765654,61.410857,60.598121,85.092957,68.888656,51.096013,59.139541,57.843832,53.986582,48.933075,52.595127,60.839715,72.781853,70.403948,97.633695,85.339118,64.042662,55.571011,58.766616,63.774393,91.36215,99.975317,99.248487,98.672391,118.61035,157.45852,142.0065,113.48806,132.44247,129.68039
Romania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.306761,11.860296,15.297299,12.16301,10.74543,12.29035,13.687201,15.940272,18.391994,21.619046,29.355373,38.355832,41.876895,42.95495,42.000938,39.964804,36.806296,34.204051,30.5524,29.88452,28.995911,27.797277,26.983901,25.985862,27.550012,26.935343,25.626644,23.14089,22.682346
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.238007,15.830052,19.086918,33.847658,25.491445,23.689736,26.232471,29.685604,34.934607,38.817943,44.548163,48.153451,59.629331,65.610899,70.422199,63.089817,63.510762,69.35752,81.40387,98.010987,103.77122,99.454483,99.189969,97.930107,98.672011,114.73716,99.157842,92.009891,97.668407,98.7116
Rwanda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.31364765,0.38131671,0.98594195,0.96278556,0.852625,1.0227651,1.55061,1.8329986,1.2615044,2.1057833,3.2042917,2.3051908,2.2942296,3.9443054,4.2661109,3.0032132,4.0650677,4.3035375,4.5679996,4.394268,4.8680667,5.8470719,5.9901763,6.0053733,7.1387771,7.0545531,5.9385375,4.4028296,4.8953798,5.5025209,8.0604739,7.2952525,5.8038067,6.8683669,7.4571991,8.2119718,8.5159654,8.560023,8.8219679,8.1835043,9.2794603,9.7921588,11.259519,11.322962,12.534611,10.577998,10.869353,13.04886,15.538392,16.019425,17.338227,20.671197,20.203084,20.310831,21.097526,21.156378,24.80804,25.066257,22.602933,22.143304,22.424202
Saint Lucia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,35.162719,30.892141,33.666822,34.307504,32.780675,35.600763,35.286253,39.8359,39.10853,35.100301,32.882166,30.11798,30.862651,34.633843,39.54535,36.995323,37.683257,37.402046,43.652054,44.68394,45.984906,50.33224,53.881259,53.158163,56.048218,58.880281,64.032194,63.976475,56.234753,57.340467,62.570642,69.742032,86.019799,89.568467,93.635719,90.848241,88.149799,92.849279,89.388695,79.357486,70.905161,64.045345,58.873675,55.902688,53.959769,78.517974,62.987036,51.036187,50.589017,51.21598
Saint Vincent and the Grenadines,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.668258,21.06646,24.961795,27.089917,26.250642,28.371314,29.561035,25.348102,27.397748,23.200554,25.31131,23.095016,25.83557,27.270044,30.354683,29.190465,32.161694,31.928619,31.900721,33.826209,37.70853,41.314645,44.15255,44.706471,47.95338,51.308597,48.624455,48.118,46.441638,43.35856,43.343989,44.640827,46.302819,46.484184,48.551969,49.024991,50.220091,51.718878,49.705902,49.233531,49.475164,48.066251,46.716909,44.431594,43.650725,47.562849,46.257983,41.988625,39.732501,36.511618
Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.260201,4.1416883,5.7028808,4.9764642,4.7218763,4.181753,4.293804,4.8397912,5.1505941,7.5037257,5.6134897,7.152031,6.585273,8.6656932,9.2597793,12.18076,10.543664,9.7297449,9.7328542,9.6064632,9.1280988,9.2449698,9.4518277,10.61235,12.423868,13.906426,13.198053,13.992513,14.952596,14.91595,15.977649,18.882646,15.764948,18.656244,19.56075,20.617416,25.412584,28.896256,29.212098,30.384098,30.434593,31.444309,35.029144,38.452495,36.577444,35.521984,35.167157,37.891271,39.415395,40.082229,39.689198,42.790592,42.210305,44.640239,45.316661,46.987472,47.448698,48.980839,53.737088,53.056738,43.935299,40.87358
Saudi Arabia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.9097203,6.1915475,6.4827554,5.9909083,6.7471277,8.0508314,9.1918792,9.0736676,9.2053745,9.6926385,8.9015562,7.0953636,5.7315504,5.3738771,3.464032,5.1451217,5.5094777,5.144031,6.6451221,8.955635,8.569916,8.7377736,12.024565,16.51996,18.577083,21.248457,24.497632,24.386044,28.20024,27.59203,20.293385,21.021294,21.105267,25.779109,28.159326,28.422423,25.910306,27.528514,42.945094,36.482912,31.652286,35.057004,36.108307,34.342668,39.661186,42.473934,41.227146,47.5034,48.105167,56.307662,48.416034,40.603986,39.991607,45.687006,50.263703,63.761977,65.33933,60.472247,53.121952,58.986013,76.685626,73.548469,64.495788,73.308275,81.356267
Senegal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.017489,11.513933,12.49962,12.101755,12.574214,12.830201,11.689444,10.382822,11.947916,12.760023,12.375256,12.585804,13.274276,17.255951,20.284359,17.085904,17.864682,18.846339,24.986287,25.207258,23.960782,24.721949,22.888383,22.931698,20.81298,19.600875,17.755623,17.520401,19.208771,18.623246,17.427252,16.524837,17.364802,17.48883,10.869649,9.6802215,10.440761,10.237905,9.5052308,9.7445637,11.876037,11.194537,11.84779,12.984195,14.249903,15.521866,15.65983,16.049077,18.729393,19.267787,21.162901,23.708126,24.253521,26.121163,27.152243,27.138202,27.605263,29.474364,29.505393,29.476037,29.300461,29.811095,32.208827,31.433064,29.11487
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.116616,25.010074,28.666186,48.097865,33.396936,17.153689,18.815283,24.055169,30.580536,30.292828,39.617353,45.282835,47.18977,49.657958,43.908415,44.97353,38.500774,37.731159,38.864448,38.647973,42.693836,45.265708,46.656726,52.22223,50.816955,48.912821,42.701183,45.604399
Sierra Leone,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.00201717,0.00254742,0.003429,0.00458846,0.00407422,0.00361856,0.00323664,0.00297419,0.00272368,0.00260297,0.00278487,0.0025193,0.00266602,0.00318866,0.00333011,0.00304157,0.0029375,0.00286197,0.00336215,0.00264503,0.00290413,0.00284361,0.00272868,0.00241002,0.00130806,0.00093482,0.00109899,0.00097501,0.00113704,0.00157863,0.00135279,0.00149627,0.00130006,0.00146473,0.00133365,0.00113085,0.00102786,0.00126404,0.00110114,0.00086373,0.00087478,0.00095617,0.001207,0.00174752,0.00209615,0.00194555,0.00200095,0.00268049,0.00354242,0.00527512,0.00479979,0.00467368,0.0036207,0.00344072,0.00371897,0.0032859,0.00348013,0.00320538,0.0035747,0.00380774,0.00357273,0.00420472,0.00352393,0.00322446,0.00359902
Singapore,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,55.951229,62.61216,62.212392,64.641808,60.282782,64.875897,72.660172,79.850929,81.474295,94.195312,104.02107,88.976268,93.610228,98.490724,97.965568,102.24586,109.89442,117.24959,128.2156,136.33127,145.67765,145.19152,140.18374,134.76244,125.79501,119.20692,128.86957,123.79508,124.16288,124.50866,123.83391,122.2438,141.03354,151.21685,158.65399,155.96177,152.82747,147.21274,166.32191,162.36638,167.66078,148.72321,144.36192,134.95961,139.22601,156.45415,156.54377,147.86863,161.30529,175.70549,191.5939,201.51829,204.44706,202.48375,202.19892,198.69592,210.39672,232.0435,201.09484,165.11199,174.42269,167.03592
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,65.602313,60.186534,58.908635,62.619142,59.041172,47.39268,46.888272,50.928437,47.034044,47.18208,49.261376,52.2578,61.004547,65.263155,70.299633,67.485853,71.9514,75.085145,78.931257,83.931517,84.570471,93.575353,96.266849,96.331801,96.870462,100.18766,97.92134,98.933494,90.361775,88.337742
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,39.203349,26.11505,28.888097,33.846382,41.712664,42.005907,42.367218,49.558639,55.365679,60.295067,63.889844,66.374191,70.006266,74.541682,84.599231,90.038473,104.59715,115.2771,125.2934,126.05823,125.65589,124.83859,113.02866,101.54034,91.973014,85.439305,80.862395,77.103277,73.782355,74.653339,71.699607,70.793972,63.690752,61.941432
Solomon Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.1960748,9.1233604,11.427113,12.687792,11.984332,9.8769044,12.919153,19.214303,20.080106,17.779514,19.103389,24.00361,15.742972,12.828236,9.901237,9.6446321,8.7652673,8.3301611,7.7870479,7.9749812,8.7293929,8.8433858,9.9366716,7.9910522,8.213378,8.9447063,8.7104148,11.505619,15.984723,21.199159,23.483274,20.569769,17.027031,15.162919,14.51753,15.511319,17.226051,19.129853,20.243187,20.355413,19.101713,19.646673,20.677419,21.207118,20.437324,19.651688,19.335064
South Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,47.871652,46.46502,46.045903,47.438374,49.752475,51.27327,50.352158,52.562008,58.144637,56.96819,57.193687,56.089848,54.867066,53.750178,52.209865,49.992176,54.7524,56.239277,58.38261,61.308942,65.349859,57.452048,54.520099,56.977428,56.804849,56.84716,56.34387,54.226153,51.279018,53.022609,53.991886,56.312019,58.462971,63.375675,62.298934,59.720758,63.413072,55.508316,59.008628,59.399927,63.835928,72.889355,77.700604,80.184835,76.49212,73.687473,72.202076,74.508417,74.982701,74.734347,77.735533,75.76223,74.502574,73.747098,74.225233,75.225625,67.596607,68.950464,67.155491,66.869277
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.42561293,1.1745001,1.2904603,1.5073264,1.656368,2.392813,3.2763455,1.7668791,1.8824788,1.6751799,1.3827023,1.5367127,2.3672615,4.3478168
Spain,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,82.122101,83.964768,87.610523,91.949518,93.146137,96.609642,98.557982,93.091138,87.255702,86.960085,89.707282,93.910292,95.289162,94.35023,91.554076,86.91269,81.865097,80.339315,83.937017,87.308834,87.913363,90.063159,90.593717,90.684013,86.633772,83.098429,82.58458,85.924647,92.051789,107.52282,122.25014,131.40131,138.08433,148.27522,162.04191,179.53663,201.47337,216.44875,221.41219,229.89357,230.98636,226.37538,217.94184,207.98039,193.7892,180.03591,172.1958,161.67173,156.12179,151.8663,170.77604,159.16466,143.01504,130.11138,123.98602
Sri Lanka,2.4544457,3.3112918,3.3317454,3.3870201,3.7158941,3.427116,5.1765755,5.8809724,6.2087018,6.0942599,6.1911161,6.2331186,6.094991,6.1706237,6.4572977,6.3909138,6.6883476,7.077313,8.299567,8.5230947,7.6895858,8.1356827,8.6586915,7.683936,9.8331541,9.2831397,10.233549,14.194587,18.369276,20.462319,14.616922,16.379667,17.660428,19.003612,17.444454,18.264402,17.838082,18.229205,19.686692,18.23222,17.720737,7.9572024,8.1808141,8.8800198,9.7883572,28.005034,27.005774,26.084082,25.621281,26.133144,25.412746,24.578878,24.35282,25.073557,27.153893,27.835016,28.402015,28.368509,24.800768,21.201858,23.977881,32.44008,33.28613,32.279084,33.693046,43.336015,46.407586,50.215018,53.427322,55.983268,no data,no data,no data,no data,no data
Sudan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.7040846,4.8497413,5.3420661,6.3588866,5.7297314,4.5355111,4.8998172,5.7476172,6.8263553,5.3365774,5.7262527,5.3032901,5.4212295,5.8944233,5.1805823,5.9265907,6.1815569,5.8125328,6.6804288,7.3490994,7.5839572,7.6967885,10.767904,9.501612,9.0103765,8.568043,8.2952673,6.5872806,6.1030217,3.7905869,4.4144346,4.6183022,5.1433452,3.1366092,2.9731889,1.9550977,1.7713257,1.4186122,1.1758182,0.93701323,1.2314151,1.4470754,1.8206683,2.0606164,2.2296145,3.021799,10.407014,9.7462826,9.3031513,11.479483,10.363674,9.0576009,11.704979,10.332996,8.000284,8.0796134,6.890352,8.0456724,8.9124446,8.807678,6.2031811,6.0135928,8.5828824,no data,no data
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.0035227,2.2512732,2.3516732,2.5844235,2.8095592,2.8970646,2.5464622,2.8809348,2.5393799,2.9024571,2.9398039,3.1634404,3.4448165,3.7132031,3.936673,4.307423,4.4970122,4.6532643,5.0626304,5.2339808,5.0560914,5.1003685,5.413068,4.7994049,5.1738538,5.2047465,2.7549573,1.0499149,0.84086521,8.0399322,9.1519091,13.071025,4.7972163,3.9366069,6.4950371,13.499696,14.654068,16.673811,16.82027,18.636958,23.114385,25.091704,25.60216,25.320649,29.395178,28.113546,32.217031,40.155534,56.738204,61.228083,50.27598,51.297968,51.206548,60.988846,50.089865,44.032492,37.86164,32.083681
Sweden,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,105.6056,107.97656,112.22422,112.54411,112.89262,114.15643,116.91731,123.45015,121.24191,114.13713,113.30942,114.48902,114.95052,113.45255,107.26012,105.37668,107.65479,107.44105,107.04478,101.8361,103.69781,106.59593,105.31843,105.69484,107.32239,116.37915,125.63013,137.33687,148.66843,155.78814,146.64314,152.58991,151.47115,141.66081,132.35965,130.73929,137.17214,141.86404,147.18971,154.24346,161.84804,160.81478,158.28665,158.84202,167.34496,141.3296,162.01982,189.18205,202.24072,190.49278,194.08878,196.86858,210.52228,203.53129,212.41174,211.56814,219.50738,216.04134,224.65209,238.37155,241.97616,243.29963,208.02688,246.56199
Switzerland,131.02821,128.03742,126.7133,126.89637,128.31668,127.63228,128.36813,126.66091,129.40487,132.44525,135.82182,137.3889,137.31713,135.74628,137.67888,139.58535,140.0865,142.40882,148.29908,156.17704,154.52769,148.70748,144.78088,141.35385,119.40088,131.10129,139.96018,148.97811,154.96139,158.00145,158.02043,155.79019,155.70456,161.05143,160.82029,162.09158,166.83947,174.18958,185.66532,196.6034,196.6198,195.61968,195.61362,190.83023,190.67813,193.17953,196.48848,195.39943,191.6075,199.76855,191.26554,186.7913,187.9652,195.73573,194.40162,195.65914,193.13448,201.32933,198.58802,214.54881,214.58062,221.49582,229.13247,230.07471,229.9379,234.06733,241.09518,251.15039,244.46296,266.05317,276.79906,279.55297,271.29454,263.4978,261.71778
São Tomé and Príncipe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.8446646,2.4715956,2.4338876,3.8591885,3.884343,3.7415449,3.9846659,5.5031224,9.7568977,16.30631,23.576367,26.980344,30.359789,26.435328,31.916785,36.86395,38.270184,38.860722,33.778607,29.089678,28.841558,26.749425,25.043609,21.348636,19.463261,17.289798,15.15342,10.568476,6.4022912,no data
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.697576,10.943079,14.049994,14.827979,12.892924,12.038172,4.344134,6.3708716,7.253906,12.04487,13.297935,12.19623,12.051665,13.009061,11.46417,16.105168,19.399983,20.496651,15.336977,10.051303,9.2771721,9.0649087,10.06319,9.390045,9.7739842,11.726219,no data
Tanzania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.9085859,3.7791462,3.9562704,3.6881172,4.5792433,5.2412459,4.8407113,4.4533607,4.3578438,3.2498245,2.4941295,2.6475833,1.7765731,1.7976297,1.5897619,1.0459066,1.0993804,1.4275276,1.3326614,1.2689339,1.1368734,1.3175635,1.2583504,0.78452473,1.067451,0.988335,1.4565649,1.2995443,11.538547,11.409192,11.514342,7.9973569,8.8609832,7.9602392,5.4616924,2.5388834,2.9064291,3.1325871,3.4334502,3.3547512,4.038422,4.9620401,6.1299113,7.0028185,7.9541837,9.1919635,11.102619,11.722823,11.038407,11.547475,12.278324,12.653064,12.416815,13.169429,14.400993,13.51603,12.761941,13.13264,12.96721,12.837894,13.37844,15.382274,16.268209,16.390423
Thailand,no data,no data,no data,no data,no data,no data,no data,16.758502,18.686942,19.567315,20.501102,21.655408,23.488519,22.69303,24.916395,27.529881,27.619173,28.631788,30.040978,31.838218,36.183735,38.349908,39.213969,43.553342,44.996634,49.45029,50.125726,55.584376,60.414046,62.494046,59.845059,61.110664,65.514672,80.270668,87.085708,89.485093,88.968303,93.865336,98.982903,108.71035,127.53528,140.07616,148.87166,161.47423,186.38423,206.17027,217.51967,249.99144,227.22798,193.12217,160.86474,143.54648,146.71479,137.83399,141.01467,139.65842,133.65381,128.22993,132.51385,136.72718,133.78653,144.88445,150.02798,156.54781,160.78999,164.28811,161.66601,157.86021,158.83377,159.36433,180.74682,184.08151,178.72086,178.01123,171.39052
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.0914687,5.1627929,19.861108,22.874645,24.457594,18.30399,15.218274,13.54845,12.041032,12.166161,13.050019,12.657889,12.774819,12.957025,12.350221,16.064615,15.702724,12.688185,13.263503,8.2393197,12.302068,23.130208,31.568705
Togo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.0965804,6.1057717,5.8487863,6.0417625,5.7396754,3.5342731,3.7056619,4.3709065,6.0566485,5.3796581,6.5734973,6.6462885,6.5109151,8.8301677,9.1461792,11.847868,13.917858,14.640463,14.922225,15.129803,15.420345,13.955588,15.276051,13.446352,13.445813,12.274325,14.554977,15.423787,14.459085,13.150922,13.302593,14.67951,14.737673,16.656884,10.953142,11.814066,11.34375,10.774455,11.7761,10.192392,10.463671,9.5026064,8.4953587,10.514674,9.6625833,10.462306,11.485992,15.821194,13.442822,13.900021,15.491437,19.829278,21.679095,27.014081,25.273169,28.96359,30.237047,29.452336,27.688592,27.424823,27.077741,26.717038,28.13529,28.059564,27.535193
Tonga,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.13656914,2.2484685,7.0852866,8.6945214,8.724745,11.481622,11.673084,14.474595,17.478823,16.295739,16.918507,20.032757,19.470889,23.179779,28.535401,30.505148,29.724492,25.166162,23.684602,24.077045,30.216375,35.386659,35.472619,40.270795,42.126858,38.175827,40.782672,41.821852,43.970674,44.57369,40.539614,52.693678,48.130095,54.99426,52.174628,47.811943,39.655728,32.816586,33.719319,30.540968,31.300299,33.81791,37.178777,37.846775,39.395608,38.754179,38.182677,36.088729,38.25783,41.016446,41.296015
Trinidad and Tobago,no data,13.0178,11.837412,10.964424,10.354008,11.227974,9.2226796,7.5649659,7.4951446,10.551,11.857168,11.082801,12.324116,11.415839,13.188333,15.462523,14.918747,16.082193,15.762294,20.571904,22.890197,23.675249,29.104941,28.661065,25.760616,28.659569,33.788167,37.927855,48.206344,42.965199,38.234991,41.805069,43.300937,52.615106,56.409922,55.897936,59.265229,61.359148,59.010495,58.162967,51.590156,58.30277,57.651939,56.432402,44.971285,47.661285,47.692354,63.611993,63.768849,61.908303,57.736682,52.576879,56.533242,51.232262,46.998933,43.354167,46.563435,46.612198,40.188997,59.9206,52.050431,46.499151,43.948045,38.104624,43.495353,48.999512,58.318351,62.396137,62.918011,60.613192,68.204403,63.535032,53.630201,62.49538,65.076776
"Türkiye, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,55.688505,60.959252,62.477994,71.337286,74.447145,79.226176,84.407685,83.759191,82.326635,79.45614,88.110554,87.319576,64.704305,57.300748,48.006865
Uganda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.9587695,4.9822603,5.8679955,5.7265059,6.368114,6.525155,7.2103883,6.9914294,5.2223107,5.7270214,5.1910893,4.8678782,4.7615574,5.1156485,5.3469663,4.1816298,3.7803201,2.7534911,2.2436426,1.5342982,2.1810526,2.9485382,2.1916352,2.4732951,1.304455,1.7618137,1.6805313,1.6230083,1.6072063,1.9125486,2.0726377,2.2571906,2.5425304,3.2403974,3.120145,3.3948015,4.0056924,3.5141498,4.1616102,4.3222301,4.1659184,4.9569995,5.513315,6.0069508,6.009727,6.1288682,7.0409959,7.0886645,8.7558869,8.1266407,10.103817,10.591161,10.680945,10.613459,11.238909,12.01914,12.157161,11.71041,11.75571,11.964065,12.874386,12.810406,12.447142,12.194269,11.965958
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.8412473,7.4999144,9.2886348,11.637799,14.349442,16.512799,19.654531,26.127621,34.40786,39.158578,47.503476,62.646003,78.804798,105.38601,110.18452,97.690163,91.105999,91.252129,95.737691,118.22765,107.54143,94.928473,77.287856,66.114936,53.907021,55.837068,44.616453,54.195464,44.7001,no data
United Arab Emirates,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.129441,10.545599,13.778932,18.065458,19.999017,21.63283,19.421303,18.109378,19.50975,22.250754,25.626673,25.787786,26.464492,35.980316,35.248499,37.809569,35.52602,28.050501,31.124786,31.341862,33.453233,33.720625,34.968759,34.27201,40.113478,44.736858,43.053067,36.938979,42.552772,44.527583,45.126339,49.42248,55.438301,66.08163,79.972218,91.328219,117.1975,101.30404,84.074171,78.708412,79.599913,83.901791,100.94513,106.12596,105.37113,101.17687,105.12823,126.07788,106.61605,89.666819,94.505387,101.01144
